Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
472792772,00000116,false,Rx,0,8,12,0A,01,00,20,00,00,FF,
472792778,000000AD,false,Rx,0,8,A6,E9,BF,FF,00,14,00,00,
472792783,000000AE,false,Rx,0,8,B7,09,00,00,FF,3C,01,02,
472792788,00000128,false,Rx,0,3,84,FF,07,00,00,00,00,00,
472792793,00000365,false,Rx,0,8,AD,06,14,00,8D,0F,88,7A,
472792799,0000012D,false,Rx,0,8,79,85,7F,00,00,00,FE,3F,
472793277,000000A7,false,Rx,0,8,E6,07,E0,7F,FD,FD,97,3D,
472793511,000000A8,false,Rx,0,8,3A,97,1D,A1,82,64,18,0E,
472793759,00000641,false,Rx,0,8,D9,12,42,13,14,12,7D,14,
472794002,00000676,false,Rx,0,8,00,00,00,80,00,C0,20,01,
472795223,000000AF,false,Rx,0,4,83,73,00,00,00,00,00,00,
472796182,00000086,false,Rx,0,8,ED,07,2C,20,00,00,00,00,
472797503,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472797769,00000101,false,Rx,0,8,45,0B,80,00,A2,03,00,00,
472798011,00000106,false,Rx,0,8,D5,0B,63,00,02,00,00,00,
472798265,0000011E,false,Rx,0,8,29,0B,00,00,00,00,00,00,
472801301,000000AD,false,Rx,0,8,F7,EA,BF,FF,00,14,00,00,
472801556,000000AE,false,Rx,0,8,CB,0A,00,00,FF,3C,01,02,
472801866,000003DE,false,Rx,0,8,FE,00,00,00,00,00,00,00,
472803321,000000A7,false,Rx,0,8,AB,08,E0,7F,FD,FD,97,3D,
472803555,000000A8,false,Rx,0,8,18,98,1D,A1,82,64,18,0E,
472803774,00000107,false,Rx,0,8,00,00,F8,2C,01,00,59,A6,
472804021,00000120,false,Rx,0,8,E2,0C,00,02,01,08,FF,01,
472804256,00000121,false,Rx,0,8,98,0C,00,40,37,5A,7E,FE,
472804511,00000147,false,Rx,0,8,00,00,00,00,F0,A3,60,1D,
472805081,000000AF,false,Rx,0,4,83,74,32,01,00,00,00,00,
472805374,1B000053,true,Rx,0,8,53,00,04,01,01,00,00,00,
472805708,1B000015,true,Rx,0,8,15,00,04,02,01,00,00,00,
472806173,00000086,false,Rx,0,8,AF,08,2C,20,00,00,00,00,
472806427,0000012B,false,Rx,0,8,8B,43,40,28,00,00,00,00,
472806623,17331F10,true,Rx,0,3,37,C4,0A,00,00,00,00,00,
472812737,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472812742,000000FD,false,Rx,0,8,09,DB,1F,80,00,00,00,00,
472812748,00000116,false,Rx,0,8,76,0B,01,00,20,00,00,FF,
472812753,000000AD,false,Rx,0,8,42,EB,BF,FF,00,14,00,00,
472812758,000000AE,false,Rx,0,8,69,0B,00,00,FF,3C,01,02,
472812764,00000128,false,Rx,0,3,80,00,00,00,00,00,00,00,
472812769,0000012D,false,Rx,0,8,C9,86,7F,00,00,00,FE,3F,
472813307,000000A7,false,Rx,0,8,7B,09,E0,7F,FD,FD,97,3D,
472813542,000000A8,false,Rx,0,8,6A,99,1D,A1,82,64,18,0E,
472815219,000000AF,false,Rx,0,4,83,75,32,01,00,00,00,00,
472816182,00000086,false,Rx,0,8,CB,09,2C,20,00,00,00,00,
472817479,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472817748,00000101,false,Rx,0,8,99,0C,80,00,A2,05,00,00,
472818012,00000106,false,Rx,0,8,C6,0C,63,00,02,00,00,00,
472818286,0000011E,false,Rx,0,8,3A,0C,00,00,00,00,00,00,
472818914,0000031E,false,Rx,0,8,68,FF,3F,00,00,00,00,40,
472819170,0000032C,false,Rx,0,8,00,0F,00,00,98,24,00,00,
472819424,0000032F,false,Rx,0,8,00,FF,00,00,00,00,12,01,
472819679,00000040,false,Rx,0,8,A8,04,00,44,C1,00,00,00,
472820641,00000041,false,Rx,0,8,7B,01,00,00,00,00,00,00,
472821308,000000AD,false,Rx,0,8,2F,EC,BF,FF,00,14,00,00,
472821563,000000AE,false,Rx,0,8,D1,0C,00,00,FF,3C,01,02,
472821809,000003D8,false,Rx,0,8,00,00,08,00,00,00,00,00,
472822072,00000464,false,Rx,0,8,00,00,00,00,00,00,00,00,
472822622,00000520,false,Rx,0,8,90,07,00,08,00,0A,00,0A,
