Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
486523205,00000746,false,Rx,0,8,03,22,F1,A3,00,00,00,00,
486536733,000007B0,false,Rx,0,8,06,62,F1,A3,48,30,34,AA,
486583194,00000746,false,Rx,0,8,03,22,F1,87,00,00,00,00,
486597007,000007B0,false,Rx,0,8,10,0E,62,F1,87,35,47,4D,
486597262,00000746,false,Rx,0,8,30,00,01,00,00,00,00,00,
486607403,000007B0,false,Rx,0,8,21,39,30,37,30,34,34,45,
486616592,000007B0,false,Rx,0,8,22,20,AA,AA,AA,AA,AA,AA,
486673233,00000746,false,Rx,0,8,03,22,F1,89,00,00,00,00,
486687265,000007B0,false,Rx,0,8,07,62,F1,89,31,38,30,31,
486713351,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
486733363,00000746,false,Rx,0,8,03,22,F1,97,00,00,00,00,
486747474,000007B0,false,Rx,0,8,10,10,62,F1,97,43,6C,69,
486747728,00000746,false,Rx,0,8,30,00,01,00,00,00,00,00,
486756704,000007B0,false,Rx,0,8,21,6D,61,74,72,6F,6E,69,
486767264,000007B0,false,Rx,0,8,22,63,20,20,AA,AA,AA,AA,
486823235,00000746,false,Rx,0,8,03,22,F1,AA,00,00,00,00,
486836790,000007B0,false,Rx,0,8,10,08,62,F1,AA,4A,32,35,
486837039,00000746,false,Rx,0,8,30,00,01,00,00,00,00,00,
486847493,000007B0,false,Rx,0,8,21,35,20,AA,AA,AA,AA,AA,
486883355,00000746,false,Rx,0,8,03,22,F1,8C,00,00,00,00,
486896770,000007B0,false,Rx,0,8,03,7F,22,31,AA,AA,AA,AA,
486943237,00000746,false,Rx,0,8,03,22,F1,9E,00,00,00,00,
486956573,000007B0,false,Rx,0,8,10,1C,62,F1,9E,45,56,5F,
486956834,00000746,false,Rx,0,8,30,00,01,00,00,00,00,00,
486967177,000007B0,false,Rx,0,8,21,41,43,43,6C,69,6D,61,
486976494,000007B0,false,Rx,0,8,22,42,48,42,56,57,33,37,
486987205,000007B0,false,Rx,0,8,23,58,00,00,00,00,00,00,
486996798,000007B0,false,Rx,0,8,24,00,AA,AA,AA,AA,AA,AA,
487033246,00000746,false,Rx,0,8,03,22,F1,A2,00,00,00,00,
487047568,000007B0,false,Rx,0,8,10,09,62,F1,A2,30,30,36,
487047829,00000746,false,Rx,0,8,30,00,01,00,00,00,00,00,
487056540,000007B0,false,Rx,0,8,21,31,34,35,AA,AA,AA,AA,
487093205,00000746,false,Rx,0,8,03,22,06,00,00,00,00,00,
487107233,000007B0,false,Rx,0,8,10,13,62,06,00,02,02,00,
487107507,00000746,false,Rx,0,8,30,00,01,00,00,00,00,00,
487116451,000007B0,false,Rx,0,8,21,24,20,01,00,01,00,04,
487129922,000007B0,false,Rx,0,8,22,00,40,00,10,14,02,AA,
487183265,00000746,false,Rx,0,8,03,22,06,06,00,00,00,00,
487196698,000007B0,false,Rx,0,8,03,7F,22,31,AA,AA,AA,AA,
487213351,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
487243225,00000746,false,Rx,0,8,03,22,06,08,00,00,00,00,
487256509,000007B0,false,Rx,0,8,10,13,62,06,08,FF,FF,FF,
487256763,00000746,false,Rx,0,8,30,00,01,00,00,00,00,00,
487267323,000007B0,false,Rx,0,8,21,FF,FF,FF,00,1F,00,1B,
487276443,000007B0,false,Rx,0,8,22,FF,FF,FF,FF,FF,FF,AA,
487333251,00000746,false,Rx,0,8,03,22,6C,1F,00,00,00,00,
487376350,000007B0,false,Rx,0,8,03,7F,22,78,AA,AA,AA,AA,
487713326,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
488213312,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
488586580,000007B0,false,Rx,0,8,03,7F,22,25,AA,AA,AA,AA,
488623304,00000746,false,Rx,0,8,03,22,64,1F,00,00,00,00,
