Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
981763153,00000779,false,Rx,0,8,05,62,2B,F3,52,00,AA,AA,
981801351,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981822996,00000779,false,Rx,0,8,05,62,2B,F3,51,00,AA,AA,
981861363,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981883619,00000779,false,Rx,0,8,05,62,2B,F3,4F,00,AA,AA,
981921353,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
981943375,00000779,false,Rx,0,8,05,62,2B,F3,4E,00,AA,AA,
981981454,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982003416,00000779,false,Rx,0,8,05,62,2B,F3,4D,00,AA,AA,
982041364,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982064785,00000779,false,Rx,0,8,05,62,2B,F3,4C,00,AA,AA,
982101296,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982124561,00000779,false,Rx,0,8,05,62,2B,F3,4B,00,AA,AA,
982161454,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982184847,00000779,false,Rx,0,8,05,62,2B,F3,48,00,AA,AA,
982198663,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
982221363,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982244708,00000779,false,Rx,0,8,05,62,2B,F3,45,00,AA,AA,
982281375,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982305154,00000779,false,Rx,0,8,05,62,2B,F3,41,00,AA,AA,
982341404,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982355669,00000779,false,Rx,0,8,05,62,2B,F3,3F,00,AA,AA,
982401375,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982415522,00000779,false,Rx,0,8,05,62,2B,F3,3C,00,AA,AA,
982461372,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982475884,00000779,false,Rx,0,8,05,62,2B,F3,39,00,AA,AA,
982521404,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982536665,00000779,false,Rx,0,8,05,62,2B,F3,37,00,AA,AA,
982581412,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982597415,00000779,false,Rx,0,8,05,62,2B,F3,35,00,AA,AA,
982641383,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982657502,00000779,false,Rx,0,8,05,62,2B,F3,3C,00,AA,AA,
982698668,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
982701430,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982717395,00000779,false,Rx,0,8,05,62,2B,F3,40,00,AA,AA,
982761375,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982777276,00000779,false,Rx,0,8,05,62,2B,F3,3D,00,AA,AA,
982821402,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982837660,00000779,false,Rx,0,8,05,62,2B,F3,3B,00,AA,AA,
982881391,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982898397,00000779,false,Rx,0,8,05,62,2B,F3,3C,00,AA,AA,
982971395,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
982988778,00000779,false,Rx,0,8,05,62,2B,F3,3C,00,AA,AA,
983031384,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983048510,00000779,false,Rx,0,8,05,62,2B,F3,3B,00,AA,AA,
983091317,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983109096,00000779,false,Rx,0,8,05,62,2B,F3,38,00,AA,AA,
983181352,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983198660,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
983199081,00000779,false,Rx,0,8,05,62,2B,F3,33,00,AA,AA,
983241371,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983259372,00000779,false,Rx,0,8,05,62,2B,F3,2D,00,AA,AA,
983301411,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983319313,00000779,false,Rx,0,8,05,62,2B,F3,22,00,AA,AA,
983361422,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983379670,00000779,false,Rx,0,8,05,62,2B,F3,1F,00,AA,AA,
983421313,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983439706,00000779,false,Rx,0,8,05,62,2B,F3,22,00,AA,AA,
983481318,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983500226,00000779,false,Rx,0,8,05,62,2B,F3,3F,00,AA,AA,
983541384,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983560206,00000779,false,Rx,0,8,05,62,2B,F3,67,00,AA,AA,
983601392,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983621692,00000779,false,Rx,0,8,05,62,2B,F3,72,00,AA,AA,
983661413,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983681739,00000779,false,Rx,0,8,05,62,2B,F3,68,00,AA,AA,
983698628,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
983721443,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
983741736,00000779,false,Rx,0,8,05,62,2B,F3,48,00,AA,AA,
